commit,date,status,path,phase,change_type
180b65d1a4764ead992b5ca7b918cc51b1f6d703,2026-05-03T02:58:09-04:00,D,pi/skills/workflow/commit-fast.md,workflow,source-history
180b65d1a4764ead992b5ca7b918cc51b1f6d703,2026-05-03T02:58:09-04:00,M,pi/skills/workflow/commit.md,workflow,source-history
4fbc6e64abf49c119ed86b447e5f3f6816ed557d,2026-05-03T02:55:43-04:00,M,claude/shared/do-it-instructions.md,workflow,source-history
3d5412e2ed4a01cc1e4c4ba2c8746c31bef6df0c,2026-05-03T02:14:27-04:00,M,pi/extensions/workflow-commands.ts,workflow,source-history
99b7202c882dac74c717931c1d9b7dbf25b5aae1,2026-05-03T01:14:48-04:00,M,pi/extensions/workflow-commands.ts,workflow,source-history
99b7202c882dac74c717931c1d9b7dbf25b5aae1,2026-05-03T01:14:48-04:00,M,pi/skills/workflow/review-it.md,workflow,source-history
931a6cd3dedbd380e8d0ac5987a926b98fd294d3,2026-05-03T00:14:42-04:00,M,pi/skills/workflow/review-it.md,workflow,source-history
90c4f2cad26cf16d3f3fde20a6e1940cbffa25e0,2026-05-02T21:54:49-04:00,M,claude/shared/do-it-instructions.md,workflow,source-history
90c4f2cad26cf16d3f3fde20a6e1940cbffa25e0,2026-05-02T21:54:49-04:00,M,claude/shared/plan-it-instructions.md,workflow,source-history
90c4f2cad26cf16d3f3fde20a6e1940cbffa25e0,2026-05-02T21:54:49-04:00,M,pi/skills/workflow/do-it.md,workflow,source-history
90c4f2cad26cf16d3f3fde20a6e1940cbffa25e0,2026-05-02T21:54:49-04:00,M,pi/skills/workflow/plan-it.md,workflow,source-history
90c4f2cad26cf16d3f3fde20a6e1940cbffa25e0,2026-05-02T21:54:49-04:00,M,pi/skills/workflow/review-it.md,workflow,source-history
75681f2ae5c129106a61598e0fad314c29d19291,2026-05-02T21:23:26-04:00,M,claude/shared/do-it-instructions.md,workflow,source-history
75681f2ae5c129106a61598e0fad314c29d19291,2026-05-02T21:23:26-04:00,M,pi/skills/workflow/do-it.md,workflow,source-history
267a50a57a802b28a14e90b228bef58a119a52a6,2026-05-02T18:48:14-04:00,M,pi/skills/workflow/do-it.md,workflow,source-history
267a50a57a802b28a14e90b228bef58a119a52a6,2026-05-02T18:48:14-04:00,M,pi/skills/workflow/plan-it.md,workflow,source-history
267a50a57a802b28a14e90b228bef58a119a52a6,2026-05-02T18:48:14-04:00,M,pi/skills/workflow/review-it.md,workflow,source-history
70932d3dd03943daea764c6e8380d05b7ce45bb3,2026-05-02T18:48:12-04:00,M,claude/shared/do-it-instructions.md,workflow,source-history
70932d3dd03943daea764c6e8380d05b7ce45bb3,2026-05-02T18:48:12-04:00,M,claude/shared/plan-it-instructions.md,workflow,source-history
70932d3dd03943daea764c6e8380d05b7ce45bb3,2026-05-02T18:48:12-04:00,M,claude/shared/plan-with-team-instructions.md,workflow,source-history
d3298bfc0304c113532cce81b10d375f08c12d2f,2026-05-02T16:19:57-04:00,M,pi/skills/workflow/do-it.md,workflow,source-history
d3298bfc0304c113532cce81b10d375f08c12d2f,2026-05-02T16:19:57-04:00,M,pi/skills/workflow/plan-it.md,workflow,source-history
d3298bfc0304c113532cce81b10d375f08c12d2f,2026-05-02T16:19:57-04:00,M,pi/skills/workflow/review-it.md,workflow,source-history
d3298bfc0304c113532cce81b10d375f08c12d2f,2026-05-02T16:19:57-04:00,A,pi/skills/workflow/yt.md,workflow,source-history
69336a62acf4a6ef8530be8cf61f30cf7ec8e2a9,2026-05-02T01:58:27-04:00,M,pi/extensions/workflow-commands.ts,workflow,source-history
f9625e2b933b6d171bf4bb757f4dba565c3056c5,2026-05-02T01:37:51-04:00,M,pi/skills/workflow/review-it.md,workflow,source-history
73fbcae8d124aae658857874c1c489f5376f070c,2026-05-02T01:37:49-04:00,M,pi/skills/workflow/yt-local.md,workflow,source-history
f8867eab5c746ea4616ae59369cf737cc3232853,2026-05-01T22:36:29-04:00,A,pi/skills/workflow/yt-local.md,workflow,source-history
23169b04d1675308d2c5053703ce3e01d52d2a74,2026-05-01T22:36:28-04:00,M,pi/skills/workflow/do-it.md,workflow,source-history
23169b04d1675308d2c5053703ce3e01d52d2a74,2026-05-01T22:36:28-04:00,M,pi/skills/workflow/plan-it.md,workflow,source-history
23169b04d1675308d2c5053703ce3e01d52d2a74,2026-05-01T22:36:28-04:00,M,pi/skills/workflow/review-it.md,workflow,source-history
4c92acbc00ac27b4811ade58bc5daac829478bdf,2026-04-30T13:23:37-04:00,M,pi/skills/workflow/plan-it.md,workflow,source-history
4c92acbc00ac27b4811ade58bc5daac829478bdf,2026-04-30T13:23:37-04:00,M,pi/skills/workflow/review-it.md,workflow,source-history
2a91ce666e24195b9eeda7601e1085d921eb53cf,2026-04-30T10:20:58-04:00,M,pi/extensions/workflow-commands.ts,workflow,source-history
2e2f147397b29b770dccdae2a0f73be463224c5c,2026-04-29T16:20:23-04:00,M,pi/skills/workflow/commit.md,workflow,source-history
b0ab6c5f9f7504e3b8dd79f19c58a71cd304fdff,2026-04-29T11:17:40-04:00,M,pi/skills/workflow/commit-fast.md,workflow,source-history
8ceb106c66af7d7ef701552d6fc321db9c7b35ad,2026-04-29T11:15:38-04:00,M,pi/skills/workflow/commit.md,workflow,source-history
69b879f6005f35967a824304215bb1bf4e7aeeb8,2026-04-29T11:15:12-04:00,A,pi/skills/workflow/commit-fast.md,workflow,source-history
1072af014695c0858ff41ced24eecf28c9ea4048,2026-04-29T00:08:00-04:00,M,pi/extensions/workflow-commands.ts,workflow,source-history
b1d5df5ee9290ef2e00ffd95bde6930bf26cf4f6,2026-04-25T19:18:58-04:00,M,pi/extensions/workflow-commands.ts,workflow,source-history
6271d0062745bfedf3893e63679474fae078e3c5,2026-04-25T12:42:54-04:00,M,pi/extensions/workflow-commands.ts,workflow,source-history
bf91616ed398d5560b4e7b360d05c5a02043c04f,2026-04-22T23:34:45-04:00,M,pi/extensions/workflow-commands.ts,workflow,source-history
